type,approved_id,approved_time,approved_labels,approved_heroes,approved_result,pipeline_id,pipeline_time,pipeline_labels,pipeline_heroes,pipeline_result,detail,approved_comment
approved_missing_in_pipeline,13,00:00-05:00,对线分路,天辉：无；夜魇：祈求者,分路结果：中路 (mid); 无>1min次要路,,,,,,approved row has no fuzzy pipeline match,
approved_missing_in_pipeline,14,00:00-05:00,对线分路,天辉：无；夜魇：酒仙,分路结果：劣势路 (bot); 无>1min次要路,,,,,,approved row has no fuzzy pipeline match,
approved_missing_in_pipeline,15,00:00-05:00,对线分路,天辉：无；夜魇：风行者,分路结果：优势路 (top); 无>1min次要路,,,,,,approved row has no fuzzy pipeline match,
approved_missing_in_pipeline,30,06:06-06:11,控符,"上符点附近： FLCN(天辉)： 电炎绝手, 朗戈; GLYPH(夜魇)： 无",电炎绝手罐装护盾神符,,,,,,approved row has no fuzzy pipeline match,
approved_missing_in_pipeline,35,07:05-07:19,拉野,天辉：小小、巫妖；夜魇：无,线上小兵与中立单位交战/死亡 2 条，死亡 2 条；样例: 07:13 npc_dota_neutral_polar_furbolg_ursa_warrior->npc_dota_creep_goodguys_melee; 07:19 npc_dota_neutral_enraged_wildkin->npc_dota_creep_goodguys_ranged,,,,,,approved row has no fuzzy pipeline match,
approved_missing_in_pipeline,40,08:05-08:10,控符,下符点附近： FLCN(天辉)： 无; GLYPH(夜魇)： 祈求者,祈求者反补急速神符,,,,,,approved row has no fuzzy pipeline match,地点错误，上符点附近： FLCN(天辉)： 朗戈、电炎绝手; GLYPH(夜魇)： 祈求者
approved_missing_in_pipeline,50,10:04-10:09,控符,下符点附近： FLCN(天辉)： 电炎绝手; GLYPH(夜魇)： 无,电炎绝手罐装恢复神符,,,,,,approved row has no fuzzy pipeline match,
approved_missing_in_pipeline,58,13:34-13:55,拉野,天辉：无；夜魇：无,线上小兵与中立单位交战/死亡 2 条，死亡 2 条；样例: 13:42 npc_dota_neutral_polar_furbolg_ursa_warrior->npc_dota_creep_badguys_melee; 13:55 npc_dota_neutral_polar_furbolg_ursa_warrior->npc_dota_creep_badguys_flagbearer,,,,,,approved row has no fuzzy pipeline match,
approved_missing_in_pipeline,65,14:06-14:11,控符,"下符点附近： FLCN(天辉)： 玛尔斯; GLYPH(夜魇)： 酒仙, 祈求者, 拉比克",酒仙拾取幻象神符,,,,,,approved row has no fuzzy pipeline match,
approved_missing_in_pipeline,99,22:03-22:08,控符,下符点附近： FLCN(天辉)： 无; GLYPH(夜魇)： 拉比克,拉比克拾取护盾神符,,,,,,approved row has no fuzzy pipeline match,
approved_missing_in_pipeline,102,23:06-23:40,肉山尝试,天辉：小小、巫妖、朗戈、玛尔斯、电炎绝手；夜魇：祈求者、酒仙,,,,,,,approved row has no fuzzy pipeline match,人物错误，少了风行者和树精卫士
approved_missing_in_pipeline,131,32:20-32:25,控符,下符点附近： FLCN(天辉)： 无; GLYPH(夜魇)： 拉比克,拉比克拾取恢复神符,,,,,,approved row has no fuzzy pipeline match,
approved_missing_in_pipeline,141,36:03-36:03,资源获得,天辉：玛尔斯；夜魇：无,FLCN(天辉) 玛尔斯获得/放置战旗,,,,,,approved row has no fuzzy pipeline match,人物、结果错误。GLYPH（夜魇）拉比克放置战旗
approved_missing_in_pipeline,145,36:53-37:48,高地团 / 团战,天辉：小小、巫妖、朗戈、电炎绝手；夜魇：拉比克、树精卫士、祈求者、酒仙、风行者,击杀结果：天辉 3 - 2 夜魇；死亡：37:07 风行者、37:15 树精卫士、37:30 酒仙、37:36 巫妖、37:44 小小,,,,,,approved row has no fuzzy pipeline match,结果错误，击杀结果：天辉 3 - 3夜魇；死亡：37:07 风行者、37:15 树精卫士、37:30 酒仙、37:36 巫妖、37:44 小小、37:49 朗戈
approved_missing_in_pipeline,163,44:11-44:16,控符,夜魇赏金符点附近： FLCN(天辉)： 无; GLYPH(夜魇)： 风行者,风行者拾取夜魇赏金神符,,,,,,approved row has no fuzzy pipeline match,
approved_missing_in_pipeline,165,44:23-45:12,肉山尝试,天辉：巫妖；夜魇：拉比克、树精卫士、酒仙,,,,,,,approved row has no fuzzy pipeline match,人物漏了玛尔斯
pipeline_extra,,,,,,8,00:39-01:09,小规模冲突,天辉：小小、巫妖；夜魇：拉比克、酒仙,击杀结果：天辉 0 - 0 夜魇；死亡：无,pipeline row has no fuzzy approved match,
pipeline_extra,,,,,,9,01:45-01:50,小规模冲突,天辉：朗戈、玛尔斯；夜魇：树精卫士、风行者,击杀结果：天辉 0 - 0 夜魇；死亡：无,pipeline row has no fuzzy approved match,
pipeline_extra,,,,,,11,02:03-02:03,控符,天辉：无；夜魇：祈求者,祈求者拾取水符,pipeline row has no fuzzy approved match,
pipeline_extra,,,,,,12,02:13-02:13,小规模冲突,天辉：巫妖；夜魇：酒仙,击杀结果：天辉 0 - 0 夜魇；死亡：无,pipeline row has no fuzzy approved match,
pipeline_extra,,,,,,13,02:14-02:21,小规模冲突,天辉：电炎绝手；夜魇：祈求者,击杀结果：天辉 0 - 0 夜魇；死亡：无,pipeline row has no fuzzy approved match,
pipeline_extra,,,,,,14,02:34-03:07,小规模冲突,天辉：电炎绝手；夜魇：祈求者,击杀结果：天辉 0 - 0 夜魇；死亡：无,pipeline row has no fuzzy approved match,
pipeline_extra,,,,,,15,02:36-02:36,小规模冲突,天辉：朗戈、玛尔斯；夜魇：风行者,击杀结果：天辉 0 - 0 夜魇；死亡：无,pipeline row has no fuzzy approved match,
pipeline_extra,,,,,,17,03:24-03:36,小规模冲突,天辉：电炎绝手；夜魇：祈求者,击杀结果：天辉 0 - 0 夜魇；死亡：无,pipeline row has no fuzzy approved match,
pipeline_extra,,,,,,18,03:32-03:47,小规模冲突,天辉：小小、巫妖；夜魇：拉比克、酒仙,击杀结果：天辉 0 - 0 夜魇；死亡：无,pipeline row has no fuzzy approved match,
pipeline_extra,,,,,,29,06:46-06:49,小规模冲突,天辉：玛尔斯；夜魇：风行者,击杀结果：天辉 0 - 0 夜魇；死亡：无,pipeline row has no fuzzy approved match,
pipeline_extra,,,,,,35,07:29-07:37,小规模冲突,天辉：巫妖；夜魇：酒仙,击杀结果：天辉 0 - 0 夜魇；死亡：无,pipeline row has no fuzzy approved match,
pipeline_extra,,,,,,37,07:58-08:17,小规模冲突,天辉：小小、电炎绝手；夜魇：拉比克、树精卫士、祈求者、酒仙、风行者,击杀结果：天辉 0 - 1 夜魇；死亡：08:17 小小,pipeline row has no fuzzy approved match,
pipeline_extra,,,,,,47,09:17-09:23,小规模冲突,天辉：玛尔斯；夜魇：树精卫士、风行者,击杀结果：天辉 0 - 0 夜魇；死亡：无,pipeline row has no fuzzy approved match,
pipeline_extra,,,,,,51,10:50-10:57,小规模冲突,天辉：小小、电炎绝手；夜魇：树精卫士、风行者,击杀结果：天辉 0 - 0 夜魇；死亡：无,pipeline row has no fuzzy approved match,
pipeline_extra,,,,,,96,22:03-22:03,小规模冲突,天辉：玛尔斯；夜魇：风行者,击杀结果：天辉 0 - 0 夜魇；死亡：无,pipeline row has no fuzzy approved match,
pipeline_extra,,,,,,100,23:00-23:00,小规模冲突,天辉：电炎绝手；夜魇：风行者,击杀结果：天辉 0 - 0 夜魇；死亡：无,pipeline row has no fuzzy approved match,
pipeline_extra,,,,,,101,23:20-23:34,小规模冲突,天辉：小小、朗戈、玛尔斯、电炎绝手；夜魇：祈求者、酒仙、风行者,击杀结果：天辉 0 - 0 夜魇；死亡：无,pipeline row has no fuzzy approved match,
